age,gender,homeland,target,accommodation,company,activities,decision,transport,cost,enjoyment
18 - 25 years old,Male,North America,Lake or river;Cities,Hotel or motel;Tent or hut,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I have friends there;I want to visit a certain place,Car;Train,600 CAD,9
Less than 14 years old,Female,Asia,Mountains,Family or friend's house;Tent or hut,Family,Trekking or walking;Visiting museums and cultural sites;Working,My relatives live there;I have a house there,Car,Rp 500.000 IDR,10
16 - 18 years old,Male,North America,Mountains;Lake or river;Cities,Hotel or motel;Family or friend's house,Family,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Boating","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,,7
More than 25 years old,Non-binary trans ,North America,Seaside,Hotel or motel;Family or friend's house,Friends;Boyfriend/girlfriend;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Train;Bus or taxi,50$,9
More than 25 years old,Female,North America,Seaside,Hotel or motel;Rent a house,Family,Going to the beach;Visiting museums and cultural sites;Staying at home,"I always go there on vacation, it's a tradition",Car,500$,10
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Tent or hut,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Extreme sports;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car;Airplane,3000 $USD,10
18 - 25 years old,Male,Northern Europe,Seaside;City holidays,Hotel or motel,Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Airplane,2500 EUR,10
18 - 25 years old,Female,Asia,Seaside;Mountains,Family or friend's house,Family;Boyfriend/girlfriend;Alone,Trekking or walking;Visiting museums and cultural sites;Staying at home,I have friends there;My relatives live there,Car;Train;Bus or taxi,,10
18 - 25 years old,Male,Western Europe,Lake or river;Countryside,Rent a house,Family,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,400 €,9
More than 25 years old,Female,Western Europe,Seaside;Mountains,Sommarstuga,Family;Friends;Alone,"Visiting museums and cultural sites;Working;Travelling, visiting cities and places of interest;Sitting, reading, enjoying nature",I have a house there,Car,€2000,7
18 - 25 years old,Male,Western Europe,Seaside,Caravan,Family;Alone,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane;Bus or taxi,400 £,7
14 - 16 years old,Female,Western Europe,Seaside,Family or friend's house;Tent or hut,Family,Going to the beach;Trekking or walking;Visiting museums and cultural sites;Camping,"I want to visit a certain place;I always go there on vacation, it's a tradition",Car,,7
18 - 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Family or friend's house;Tent or hut,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping","My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Train;Airplane,"Not sure, my parents paid",9
18 - 25 years old,Female,North America,Seaside,Hotel or motel;Rent a house;Family or friend's house,Family;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,400$,8
18 - 25 years old,Male,Asia,Mountains,Hotel or motel,Friends,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home","I have friends there;I always go there on vacation, it's a tradition",Train;Airplane,30000 INR,9
18 - 25 years old,Male,Western Europe,Seaside,Hotel or motel,Family,"Going to the beach;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Airplane,,7
More than 25 years old,Female,North America,Seaside;Mountains,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car,1000 $,10
More than 25 years old,Male,Western Europe,Seaside,Family or friend's house;Tent or hut,Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Staying at home;Camping",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane,1000€,7
18 - 25 years old,Male,Eastern Europe,Lake or river;at home,boat,Friends,Staying at home;Attending concerts or live events (e.g. football match);sailing,someone else decides,Car,~200€,7
More than 25 years old,Female,Central Europe,Seaside,Hotel or motel;Family or friend's house;Tent or hut,Friends;Alone,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I have friends there;I want to visit a certain place,Train;Airplane,Somewhere around 1.200 €,9
18 - 25 years old,Male,North America,Seaside,Hotel or motel;Rent a house,Family,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Car;Airplane,1500 $,7
More than 25 years old,Non binary ,Western Europe,Mountains;City ,Hotel or motel;Airbnb,Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Train;Airplane,200 £,8
More than 25 years old,Male,Western Europe,Seaside;Mountains,Rent a house,Family;Friends,Going to the beach;Trekking or walking,I want to visit a certain place,Car;Airplane,1500 €,10
More than 25 years old,Female,Western Europe,City ,Hotel or motel,Boyfriend/girlfriend;Alone,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest",I want to visit a certain place,Airplane,300£,8
18 - 25 years old,Nonbinary,North America,Seaside;Big cities,Hotel or motel;Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",My relatives live there;I want to visit a certain place,Car;Airplane;Bus or taxi,,8
More than 25 years old,Male,Western Europe,Countryside,Hotel or motel;Family or friend's house,Family;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Reading ",I have friends there;My relatives live there,Car,400 £,9
18 - 25 years old,Male,North America,Lake or river,Hotel or motel;Tent or hut,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Camping","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,,8
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river;City,Hotel or motel;Rent a house,Family;Friends;Boyfriend/girlfriend,"Visiting museums and cultural sites;Extreme sports;Working;Travelling, visiting cities and places of interest;Staying at home;Camping;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car,2500,10
More than 25 years old,Female,Canada,Mountains;Lake or river;Countryside,Hotel or motel;Rent a house,Family;Boyfriend/girlfriend,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car;Airplane,150 CAD $,8
More than 25 years old,Transgender woman,North America,Seaside,Family or friend's house,Family;Boyfriend/girlfriend,Going to the beach;Visiting museums and cultural sites;Extreme sports;Attending concerts or live events (e.g. football match),"I always go there on vacation, it's a tradition;I have a house there",Car;Ferry boat,1000 $,8
More than 25 years old,Male,Eastern Europe,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Visiting museums and cultural sites;Extreme sports;Travelling, visiting cities and places of interest;Cruise;Attending concerts or live events (e.g. football match)",I have friends there;My relatives live there;I want to visit a certain place,Car;Train;Airplane;Bus or taxi,,9
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Tent or hut,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Travelling, visiting cities and places of interest;Camping;Attending concerts or live events (e.g. football match)","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,2000 $,10
18 - 25 years old,Male,Western Europe,Seaside;Countryside,Hotel or motel;Rent a house;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest","I have friends there;I want to visit a certain place;I always go there on vacation, it's a tradition",Airplane,1000+,10
18 - 25 years old,Female,North America,City,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Working;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",My relatives live there;I want to visit a certain place,Car,I split the cost and with all the buying and stuff I don’t have an exact number lol,10
18 - 25 years old,Female,Western Europe,Seaside;Countryside,Hotel or motel;Tent or hut,Family;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Train;Airplane;Bus or taxi,0 €,8
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Family or friend's house,Family;Friends,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Airplane,,6
More than 25 years old,Male,Asia,Seaside,Hotel or motel;Rent a house;Family or friend's house,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I have friends there;My relatives live there;I want to visit a certain place,Car;Airplane,15000 Php,8
More than 25 years old,Male,North America,Mountains;Lake or river,Hotel or motel;Rent a house,Family;Boyfriend/girlfriend,"Visiting museums and cultural sites;Working;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Airplane,2500,10
18 - 25 years old,Male,South America,Seaside;Mountains,Family or friend's house,Family;Friends;Boyfriend/girlfriend,"Going to the beach;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home","I have friends there;I want to visit a certain place;I always go there on vacation, it's a tradition;I have a house there",Car;Airplane,500 USD,10
18 - 25 years old,Female,Western Europe,Seaside,Hotel or motel,Family;Boyfriend/girlfriend,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Staying at home",I want to visit a certain place,Car;Train;Bus or taxi,900,9
More than 25 years old,Female,North America,Seaside;Mountains;Lake or river,Hotel or motel;Rent a house;Camper,Family,Going to the beach;Camping;Mountain cabin rental ,"I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,2500 USD,8
18 - 25 years old,Female,Canada,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Tent or hut,Family,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping","I want to visit a certain place;I always go there on vacation, it's a tradition",Car,unknown ,7
18 - 25 years old,Female,North America,Seaside,Hotel or motel,Family;Friends,Going to the beach;Trekking or walking;Visiting museums and cultural sites,"I always go there on vacation, it's a tradition",Car,5000$,6
More than 25 years old,Male,Western Europe,Seaside;Mountains;Lake or river;Countryside,Hotel or motel;Family or friend's house,Family;Friends,"Going to the beach;Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",My relatives live there;I want to visit a certain place,Train;Airplane,10000 SEK,8
More than 25 years old,Male,North America,Seaside;Lake or river,Hotel or motel;Rent a house;Family or friend's house;Tent or hut,Family;Friends;Boyfriend/girlfriend,Going to the beach;Visiting museums and cultural sites;Staying at home;Camping;Attending concerts or live events (e.g. football match),"I have friends there;My relatives live there;I want to visit a certain place;I always go there on vacation, it's a tradition",Car;Airplane,8000 $,8
More than 25 years old,Female,Northern Europe,Mountains;Cities,Hotel or motel;Rent a house;Family or friend's house,Family;Boyfriend/girlfriend,"Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Attending concerts or live events (e.g. football match)",I want to visit a certain place,Car;Train;Airplane,1000 €,8
14 - 16 years old,Male,North America,Seaside;Mountains;Countryside,Hotel or motel;Rent a house,Family,"Trekking or walking;Visiting museums and cultural sites;Travelling, visiting cities and places of interest;Camping",I want to visit a certain place,Car;Airplane,,10
